Reading data .................
Total tokens: 17005207
Vocabulary size: 71290
0.60 loss = 1.883, wps = 44748
0.70 loss = 1.883, wps = 45016
0.80 loss = 1.881, wps = 44787
0.90 loss = 1.883, wps = 48113
Epoch: 23, Loss = 1.882, 
0.00 loss = 1.901, wps = 40325
0.10 loss = 1.885, wps = 47768
0.20 loss = 1.888, wps = 44381
0.30 loss = 1.878, wps = 44831
0.40 loss = 1.882, wps = 45242
0.50 loss = 1.882, wps = 44091
0.60 loss = 1.881, wps = 45139
0.70 loss = 1.882, wps = 44542
0.80 loss = 1.880, wps = 44541
0.90 loss = 1.881, wps = 44327
Epoch: 24, Loss = 1.880, 
0.00 loss = 1.904, wps = 35204
0.10 loss = 1.884, wps = 44384
0.20 loss = 1.887, wps = 44727
0.30 loss = 1.878, wps = 44317
0.40 loss = 1.880, wps = 44327
0.50 loss = 1.881, wps = 44557
0.60 loss = 1.880, wps = 44362
0.70 loss = 1.881, wps = 44635
0.80 loss = 1.879, wps = 44437
0.90 loss = 1.880, wps = 44828
Epoch: 25, Loss = 1.879, 
0.00 loss = 1.896, wps = 42838
0.10 loss = 1.882, wps = 44353
0.20 loss = 1.885, wps = 44537
0.30 loss = 1.876, wps = 44478
0.40 loss = 1.879, wps = 45650
0.50 loss = 1.879, wps = 44548
0.60 loss = 1.879, wps = 45044
0.70 loss = 1.880, wps = 45136
0.80 loss = 1.878, wps = 45133
0.90 loss = 1.879, wps = 44721
Epoch: 26, Loss = 1.878, 
0.00 loss = 1.901, wps = 41827
0.10 loss = 1.882, wps = 44389
0.20 loss = 1.884, wps = 44369
0.30 loss = 1.875, wps = 44285
0.40 loss = 1.879, wps = 44922
0.50 loss = 1.879, wps = 44795
0.60 loss = 1.878, wps = 44480
0.70 loss = 1.879, wps = 45035
0.80 loss = 1.877, wps = 45196
0.90 loss = 1.878, wps = 44027
Epoch: 27, Loss = 1.877, 
0.00 loss = 1.895, wps = 38414
0.10 loss = 1.881, wps = 46650
0.20 loss = 1.883, wps = 48137
0.30 loss = 1.874, wps = 48701
0.40 loss = 1.878, wps = 44932
0.50 loss = 1.878, wps = 44471
0.60 loss = 1.877, wps = 44532
0.70 loss = 1.878, wps = 44658
0.80 loss = 1.876, wps = 44279
0.90 loss = 1.877, wps = 44463
Epoch: 28, Loss = 1.876, 
0.00 loss = 1.897, wps = 34543
0.10 loss = 1.880, wps = 44277
0.20 loss = 1.883, wps = 44212
0.30 loss = 1.874, wps = 44302
0.40 loss = 1.877, wps = 44194
0.50 loss = 1.877, wps = 44610
0.60 loss = 1.877, wps = 44698
0.70 loss = 1.877, wps = 44560
0.80 loss = 1.875, wps = 44452
0.90 loss = 1.877, wps = 44461
Epoch: 29, Loss = 1.875, 
0.00 loss = 1.901, wps = 35397
0.10 loss = 1.879, wps = 44328
0.20 loss = 1.882, wps = 44486
0.30 loss = 1.873, wps = 44076
0.40 loss = 1.876, wps = 44171
0.50 loss = 1.876, wps = 44503
0.60 loss = 1.876, wps = 45160
0.70 loss = 1.877, wps = 44441
0.80 loss = 1.874, wps = 44295
0.90 loss = 1.876, wps = 44356
Epoch: 30, Loss = 1.875, 
Reading data .................
Total tokens: 17005207
Vocabulary size: 71290
0.00 loss = 4.152, wps = 14516
0.10 loss = 3.103, wps = 43732
0.20 loss = 2.802, wps = 43574
0.30 loss = 2.658, wps = 43832
0.40 loss = 2.577, wps = 43519
0.50 loss = 2.517, wps = 44210
0.60 loss = 2.473, wps = 43096
0.70 loss = 2.438, wps = 43720
0.80 loss = 2.407, wps = 44292
0.90 loss = 2.387, wps = 43831
Epoch: 1, Loss = 2.366, 
0.00 loss = 2.200, wps = 41993
0.10 loss = 2.155, wps = 43834
0.20 loss = 2.146, wps = 43801
0.30 loss = 2.129, wps = 46819
